                nu      tot_opac
643   3.510400e+06  2.100000e-18
644   3.498700e+06  2.080000e-18
645   3.487100e+06  2.070000e-18
646   3.475500e+06  2.050000e-18
647   3.463900e+06  2.040000e-18
648   3.452400e+06  2.030000e-18
649   3.440900e+06  2.010000e-18
650   3.429500e+06  2.000000e-18
651   3.418100e+06  1.980000e-18
652   3.406700e+06  1.970000e-18
653   3.395400e+06  1.960000e-18
654   3.384100e+06  1.940000e-18
655   3.372800e+06  1.930000e-18
656   3.361600e+06  1.920000e-18
657   3.350400e+06  1.900000e-18
658   3.339200e+06  1.890000e-18
659   3.328100e+06  1.880000e-18
660   3.317100e+06  1.860000e-18
661   3.306000e+06  1.850000e-18
662   3.295000e+06  1.840000e-18
663   3.284100e+06  1.830000e-18
664   3.273100e+06  1.810000e-18
665   3.262200e+06  1.800000e-18
666   3.251400e+06  1.790000e-18
667   3.240600e+06  1.780000e-18
668   3.229800e+06  1.760000e-18
669   3.219000e+06  1.750000e-18
670   3.208300e+06  1.740000e-18
671   3.197600e+06  1.730000e-18
672   3.187000e+06  1.720000e-18
673   3.176400e+06  1.700000e-18
674   3.165800e+06  1.690000e-18
675   3.155300e+06  1.680000e-18
676   3.144800e+06  1.670000e-18
677   3.134300e+06  1.660000e-18
678   3.123900e+06  1.650000e-18
679   3.113500e+06  1.630000e-18
680   3.103100e+06  1.620000e-18
681   3.092800e+06  1.610000e-18
682   3.082500e+06  1.600000e-18
683   3.072300e+06  1.590000e-18
684   3.062100e+06  1.580000e-18
685   3.051900e+06  1.570000e-18
686   3.041700e+06  1.560000e-18
687   3.031600e+06  1.550000e-18
688   3.021500e+06  1.540000e-18
689   3.011400e+06  1.520000e-18
690   3.001400e+06  1.510000e-18
691   2.991400e+06  1.500000e-18
692   2.981500e+06  1.490000e-18
693   2.971600e+06  1.480000e-18
694   2.961700e+06  1.470000e-18
695   2.951800e+06  1.460000e-18
696   2.942000e+06  1.450000e-18
697   2.932200e+06  1.440000e-18
698   2.922500e+06  1.430000e-18
699   2.912700e+06  1.420000e-18
700   2.903000e+06  1.410000e-18
701   2.893400e+06  1.400000e-18
702   2.883800e+06  1.390000e-18
703   2.874200e+06  1.380000e-18
704   2.864600e+06  1.370000e-18
705   2.855100e+06  1.360000e-18
706   2.845600e+06  1.360000e-18
707   2.836100e+06  1.350000e-18
708   2.826700e+06  1.340000e-18
709   2.817200e+06  1.330000e-18
710   2.807900e+06  1.320000e-18
711   2.798500e+06  1.310000e-18
712   2.789200e+06  1.300000e-18
713   2.779900e+06  1.290000e-18
714   2.770700e+06  1.280000e-18
715   2.761500e+06  1.270000e-18
716   2.752300e+06  1.260000e-18
717   2.743100e+06  1.260000e-18
718   2.734000e+06  1.250000e-18
719   2.724900e+06  1.240000e-18
720   2.715800e+06  1.230000e-18
721   2.706800e+06  1.220000e-18
722   2.697800e+06  1.210000e-18
723   2.688800e+06  1.200000e-18
724   2.679900e+06  1.200000e-18
725   2.670900e+06  1.190000e-18
726   2.662100e+06  1.180000e-18
727   2.653200e+06  1.170000e-18
728   2.644400e+06  1.160000e-18
729   2.635600e+06  1.160000e-18
730   2.626800e+06  1.150000e-18
731   2.618100e+06  1.140000e-18
732   2.609400e+06  1.130000e-18
733   2.600700e+06  1.120000e-18
734   2.592000e+06  1.120000e-18
735   2.583400e+06  1.110000e-18
736   2.574800e+06  1.100000e-18
737   2.566200e+06  1.090000e-18
738   2.557700e+06  1.090000e-18
739   2.549200e+06  1.080000e-18
740   2.540700e+06  1.070000e-18
741   2.532200e+06  1.060000e-18
742   2.523800e+06  1.060000e-18
743   2.515400e+06  1.050000e-18
744   2.507100e+06  1.040000e-18
745   2.498700e+06  1.030000e-18
746   2.490400e+06  1.030000e-18
747   2.482100e+06  1.020000e-18
748   2.473800e+06  1.010000e-18
749   2.465600e+06  1.010000e-18
750   2.457400e+06  9.990000e-19
751   2.449200e+06  9.920000e-19
752   2.441100e+06  9.850000e-19
753   2.433000e+06  9.780000e-19
754   2.424900e+06  9.710000e-19
755   2.416800e+06  9.650000e-19
756   2.408800e+06  9.580000e-19
757   2.400700e+06  9.510000e-19
758   2.392800e+06  9.450000e-19
759   2.384800e+06  9.380000e-19
760   2.376900e+06  9.320000e-19
761   2.368900e+06  9.250000e-19
762   2.361100e+06  9.190000e-19
763   2.353200e+06  9.130000e-19
764   2.345400e+06  9.060000e-19
765   2.337600e+06  9.000000e-19
766   2.329800e+06  8.940000e-19
767   2.322000e+06  8.880000e-19
768   2.314300e+06  8.820000e-19
769   2.306600e+06  8.750000e-19
770   2.298900e+06  8.690000e-19
771   2.291300e+06  8.630000e-19
772   2.283700e+06  8.570000e-19
773   2.276100e+06  8.510000e-19
